phi	logL
3.85934404700455990778e+00       -1.166878e+06
3.92356561011626725488e+00       -1.164526e+06
3.96599876996130440432e+00       -1.161662e+06
3.61496530601565924101e+00       -1.153954e+06
4.21464557323794863919e+00       -1.124318e+06
3.42819349138065732063e+00       -1.121189e+06
4.23317723825736358378e+00       -1.120166e+06
2.99855183453296003648e+00       -9.781117e+05
2.97568253243119684726e+00       -9.681959e+05
2.92804498844183935802e+00       -9.469044e+05
4.80879581758045482331e+00       -9.093481e+05
4.82125027686089424606e+00       -9.033060e+05
4.82588559418605811402e+00       -9.010446e+05
4.91451931386963192239e+00       -8.565568e+05
4.95245636076999495856e+00       -8.368440e+05
5.00834356858615326047e+00       -8.071534e+05
2.60491803340783079079e+00       -7.834955e+05
5.23651925297002662774e+00       -6.797748e+05
2.33150545436796141630e+00       -6.284749e+05
2.32414632376005947378e+00       -6.242054e+05
2.32237681668847972816e+00       -6.231785e+05
5.34339920815873270499e+00       -6.180136e+05
5.47820177472484193260e+00       -5.396770e+05
5.53617412254154572793e+00       -5.061612e+05
2.02824286418119159592e+00       -4.533036e+05
5.69036057141595019715e+00       -4.186193e+05
5.69521903449568167588e+00       -4.159145e+05
1.94049171052895674805e+00       -4.041771e+05
1.90681549777002423696e+00       -3.856742e+05
5.77283027459306907758e+00       -3.732926e+05
1.86421638796733546428e+00       -3.625960e+05
5.79772820210818373710e+00       -3.598780e+05
1.85637032909814481130e+00       -3.583883e+05
1.84073380305769140897e+00       -3.500446e+05
1.75804750044191271385e+00       -3.069281e+05
5.90707493836348085381e+00       -3.027294e+05
1.70123272499903310795e+00       -2.783885e+05
1.65315731982214386697e+00       -2.550096e+05
6.05002824849229359216e+00       -2.332126e+05
6.05860413017463361740e+00       -2.292573e+05
6.07690405047011683592e+00       -2.209053e+05
6.11478511625478393654e+00       -2.040075e+05
6.12832202004975723497e+00       -1.981006e+05
1.51946657207830182479e+00       -1.941736e+05
6.16484756398348388018e+00       -1.825197e+05
1.47974485800976474081e+00       -1.773982e+05
1.47464398849409583647e+00       -1.752901e+05
1.46339103355499933201e+00       -1.706773e+05
6.19767563397617848864e+00       -1.689742e+05
6.20248865822321349128e+00       -1.670256e+05
1.42948388673119763936e+00       -1.570980e+05
1.42697111719759872628e+00       -1.561111e+05
1.42022717379025831264e+00       -1.534757e+05
6.24227586392928124326e+00       -1.512932e+05
1.37862113718720413758e+00       -1.376565e+05
6.27953700347095189471e+00       -1.371824e+05
1.30470022408042307660e+00       -1.114796e+05
1.29732329183230143954e+00       -1.090071e+05
1.28199936391273006109e+00       -1.039542e+05
1.23552765467485281548e-01       -9.381250e+04
1.23562607489155373841e+00       -8.935664e+04
1.43580240794748625888e-01       -8.769181e+04
1.22384999301164132390e+00       -8.581839e+04
1.69197439723787645960e-01       -8.015421e+04
1.81781434358687432606e-01       -7.657266e+04
1.18338428152580044106e+00       -7.419121e+04
1.90355593637858033773e-01       -7.417850e+04
1.18007114569913085234e+00       -7.327606e+04
1.17616987662602356934e+00       -7.220567e+04
1.16968213295814438268e+00       -7.044294e+04
2.19672619887314013454e-01       -6.627738e+04
2.22718231030083257949e-01       -6.548204e+04
1.13877938182093330077e+00       -6.234547e+04
2.36586088006140227158e-01       -6.192167e+04
1.13396161535587136626e+00       -6.112790e+04
1.11938526933777482419e+00       -5.751831e+04
1.09675089968948058505e+00       -5.213594e+04
2.93480499919217319160e-01       -4.837601e+04
2.99865636650975764255e-01       -4.696355e+04
1.06524176314465623960e+00       -4.509873e+04
3.59350113188256159447e-01       -3.486743e+04
1.00265204062325485879e+00       -3.271774e+04
3.72230228923718708955e-01       -3.250349e+04
3.85506431658304560273e-01       -3.016289e+04
3.86175513741162323988e-01       -3.004751e+04
3.91790007177677979122e-01       -2.908919e+04
4.01981872457356836925e-01       -2.739441e+04
9.57356651305732331281e-01       -2.510566e+04
4.23024995469814257820e-01       -2.407883e+04
9.39983819016335431229e-01       -2.249034e+04
9.35462817754965980654e-01       -2.183758e+04
9.24389774056830870741e-01       -2.028751e+04
4.57022702160290617002e-01       -1.924801e+04
4.61074083189916050785e-01       -1.871589e+04
9.08373764013896134450e-01       -1.816816e+04
9.01514174807234724973e-01       -1.730494e+04
9.01361657375420399774e-01       -1.728605e+04
8.98804443342933745420e-01       -1.697131e+04
8.98023077943970626791e-01       -1.687588e+04
4.76802573544951036055e-01       -1.673828e+04
4.87586795620730040213e-01       -1.546363e+04
8.85971135869923376305e-01       -1.544797e+04
4.91385861583620908721e-01       -1.503038e+04
8.81841399811226667182e-01       -1.497772e+04
8.78788278134826961185e-01       -1.463632e+04
8.75501252427318910065e-01       -1.427471e+04
4.99662404241381419290e-01       -1.411503e+04
5.01809151947249842962e-01       -1.388400e+04
8.67636472783570811274e-01       -1.343457e+04
5.11623038542509345206e-01       -1.286141e+04
5.12097785843357855562e-01       -1.281334e+04
5.12172588682104690250e-01       -1.280578e+04
8.61448498426709785569e-01       -1.279841e+04
8.57115923210042707225e-01       -1.236606e+04
5.24259980781964229912e-01       -1.162592e+04
5.28005920118068794444e-01       -1.127729e+04
8.44754556527960276391e-01       -1.119166e+04
5.31614225912593552081e-01       -1.094909e+04
5.34401728924075114513e-01       -1.070066e+04
8.32146249313972630191e-01       -1.008421e+04
5.42526307546831398909e-01       -1.000209e+04
8.17707738316616028484e-01       -8.928387e+03
8.12607743634502943664e-01       -8.548841e+03
5.62554972352394822011e-01       -8.442321e+03
8.09863099683505671678e-01       -8.350793e+03
5.71605167607875719327e-01       -7.813425e+03
5.74566057311749256442e-01       -7.617944e+03
5.78005316966033855230e-01       -7.397242e+03
7.94349960276853450658e-01       -7.313182e+03
7.94128797026457555752e-01       -7.299395e+03
5.81227853432021546176e-01       -7.196652e+03
7.83257952167006221700e-01       -6.656589e+03
5.90638907692082493206e-01       -6.645244e+03
7.82568172560103914037e-01       -6.618109e+03
5.95738513797181679088e-01       -6.367866e+03
5.96719643589013859497e-01       -6.316228e+03
5.98425005629990902634e-01       -6.227799e+03
6.04088757708066026453e-01       -5.946207e+03
6.05859314793147918365e-01       -5.861992e+03
6.07402418081623873825e-01       -5.790077e+03
7.64117719692722685565e-01       -5.691109e+03
6.13505210931770239569e-01       -5.519193e+03
6.16676495944380564929e-01       -5.386958e+03
7.56089751800655740510e-01       -5.349376e+03
6.19003570936360381083e-01       -5.293636e+03
7.52961530472134099590e-01       -5.226337e+03
6.23549574995352351436e-01       -5.120395e+03
7.45323620343487425188e-01       -4.949786e+03
7.43321799486541312518e-01       -4.882907e+03
6.30717972832319340171e-01       -4.871590e+03
6.36161436298187221716e-01       -4.702588e+03
6.38189293749144903600e-01       -4.644029e+03
7.33688514301138128282e-01       -4.593610e+03
7.32820335517726961783e-01       -4.570186e+03
6.41621435896778447017e-01       -4.550362e+03
6.42634589822114188351e-01       -4.524020e+03
6.45015174160417426030e-01       -4.464472e+03
6.45094559709262216352e-01       -4.462543e+03
6.45097152987696542681e-01       -4.462480e+03
6.46896405722856560061e-01       -4.419744e+03
7.26600883297385591320e-01       -4.415186e+03
6.48674692494752069827e-01       -4.379355e+03
6.49305727775512542266e-01       -4.365465e+03
6.50685726702980860026e-01       -4.335894e+03
7.20559570800967552628e-01       -4.286148e+03
7.19867134854082824091e-01       -4.272714e+03
7.19097610895621630611e-01       -4.258110e+03
6.55540424442507485558e-01       -4.240665e+03
7.16811696447565038781e-01       -4.216760e+03
6.57326847752397136482e-01       -4.209071e+03
6.57873037110375258329e-01       -4.199782e+03
7.14098528405983756784e-01       -4.171623e+03
7.12437134716934483691e-01       -4.146096e+03
7.10804828461240711945e-01       -4.122579e+03
6.63064335646041946859e-01       -4.120148e+03
7.10403160724088822420e-01       -4.117030e+03
7.09263986546924685150e-01       -4.101802e+03
6.64473655697937704012e-01       -4.101233e+03
7.07763629372968106068e-01       -4.082897e+03
7.06984184058326636801e-01       -4.073592e+03
6.66859918669927220769e-01       -4.071841e+03
6.67484870583643030706e-01       -4.064690e+03
7.06161124525147454456e-01       -4.064150e+03
6.67700169894992590081e-01       -4.062279e+03
6.69939480478872972924e-01       -4.038802e+03
6.70335400746242759951e-01       -4.034955e+03
6.70977051324974760327e-01       -4.028913e+03
7.02444890860785986497e-01       -4.026423e+03
7.01876855766863649855e-01       -4.021364e+03
6.99815026097238335190e-01       -4.004578e+03
6.99623512021893545487e-01       -4.003144e+03
6.74366555915104193275e-01       -4.000970e+03
6.99118838050116431226e-01       -3.999468e+03
6.74737274599688463539e-01       -3.998319e+03
6.97319087539089554895e-01       -3.987565e+03
