# phi logL logPrior
3.859344047004559908e+00 -1.166878159318843158e+06 0.000000000000000000e+00
3.923565610116267255e+00 -1.164526424391952809e+06 0.000000000000000000e+00
3.965998769961304404e+00 -1.161661879732263274e+06 0.000000000000000000e+00
3.614965306015659241e+00 -1.153953989057184663e+06 0.000000000000000000e+00
4.214645573237948639e+00 -1.124318041613862384e+06 0.000000000000000000e+00
3.428193491380657321e+00 -1.121189171895742184e+06 0.000000000000000000e+00
4.233177238257363584e+00 -1.120165938823862234e+06 0.000000000000000000e+00
2.998551834532960036e+00 -9.781117264319055248e+05 0.000000000000000000e+00
2.975682532431196847e+00 -9.681958699877893087e+05 0.000000000000000000e+00
2.928044988441839358e+00 -9.469043621573445853e+05 0.000000000000000000e+00
4.808795817580454823e+00 -9.093480914665751625e+05 0.000000000000000000e+00
4.821250276860894246e+00 -9.033059784378402401e+05 0.000000000000000000e+00
4.825885594186058114e+00 -9.010445810248763300e+05 0.000000000000000000e+00
4.914519313869631922e+00 -8.565568114504863042e+05 0.000000000000000000e+00
4.952456360769994959e+00 -8.368439522792636417e+05 0.000000000000000000e+00
5.008343568586153260e+00 -8.071533613880514167e+05 0.000000000000000000e+00
2.604918033407830791e+00 -7.834954985656747594e+05 0.000000000000000000e+00
5.236519252970026628e+00 -6.797747852225168608e+05 0.000000000000000000e+00
2.331505454367961416e+00 -6.284749437230834737e+05 0.000000000000000000e+00
2.324146323760059474e+00 -6.242054188743182458e+05 0.000000000000000000e+00
2.322376816688479728e+00 -6.231784883468233747e+05 0.000000000000000000e+00
5.343399208158732705e+00 -6.180135770932585001e+05 0.000000000000000000e+00
5.478201774724841933e+00 -5.396769778674327536e+05 0.000000000000000000e+00
5.536174122541545728e+00 -5.061612186858352507e+05 0.000000000000000000e+00
2.028242864181191596e+00 -4.533035549173774780e+05 0.000000000000000000e+00
5.690360571415950197e+00 -4.186192880960771581e+05 0.000000000000000000e+00
5.695219034495681676e+00 -4.159144863125951379e+05 0.000000000000000000e+00
1.940491710528956748e+00 -4.041770924819980864e+05 0.000000000000000000e+00
1.906815497770024237e+00 -3.856741667183298850e+05 0.000000000000000000e+00
5.772830274593069078e+00 -3.732925918147447519e+05 0.000000000000000000e+00
1.864216387967335464e+00 -3.625960110956606804e+05 0.000000000000000000e+00
5.797728202108183737e+00 -3.598779873829429271e+05 0.000000000000000000e+00
1.856370329098144811e+00 -3.583882787632223917e+05 0.000000000000000000e+00
1.840733803057691409e+00 -3.500445881366562680e+05 0.000000000000000000e+00
1.758047500441912714e+00 -3.069281456998033100e+05 0.000000000000000000e+00
5.907074938363480854e+00 -3.027294226290894439e+05 0.000000000000000000e+00
1.701232724999033108e+00 -2.783885385975787067e+05 0.000000000000000000e+00
1.653157319822143867e+00 -2.550096138585563749e+05 0.000000000000000000e+00
6.050028248492293592e+00 -2.332125906763543899e+05 0.000000000000000000e+00
6.058604130174633617e+00 -2.292573346671541221e+05 0.000000000000000000e+00
6.076904050470116836e+00 -2.209052675342238217e+05 0.000000000000000000e+00
6.114785116254783937e+00 -2.040075188471025322e+05 0.000000000000000000e+00
6.128322020049757235e+00 -1.981005962170427665e+05 0.000000000000000000e+00
1.519466572078301825e+00 -1.941735796479996934e+05 0.000000000000000000e+00
6.164847563983483880e+00 -1.825196702853931929e+05 0.000000000000000000e+00
1.479744858009764741e+00 -1.773982100095278001e+05 0.000000000000000000e+00
1.474643988494095836e+00 -1.752901059255183791e+05 0.000000000000000000e+00
1.463391033554999332e+00 -1.706772756453127949e+05 0.000000000000000000e+00
6.197675633976178489e+00 -1.689741692310019862e+05 0.000000000000000000e+00
6.202488658223213491e+00 -1.670256109498690348e+05 0.000000000000000000e+00
1.429483886731197639e+00 -1.570979748852046905e+05 0.000000000000000000e+00
1.426971117197598726e+00 -1.561110636574300588e+05 0.000000000000000000e+00
1.420227173790258313e+00 -1.534757451866743504e+05 0.000000000000000000e+00
6.242275863929281243e+00 -1.512931938770576380e+05 0.000000000000000000e+00
1.378621137187204138e+00 -1.376565231115185597e+05 0.000000000000000000e+00
6.279537003470951895e+00 -1.371824379849029938e+05 0.000000000000000000e+00
1.304700224080423077e+00 -1.114796129102713894e+05 0.000000000000000000e+00
1.297323291832301440e+00 -1.090071493351082318e+05 0.000000000000000000e+00
1.281999363912730061e+00 -1.039541988923901517e+05 0.000000000000000000e+00
1.235527654674852815e-01 -9.381250442534306785e+04 0.000000000000000000e+00
1.235626074891553738e+00 -8.935664101166500768e+04 0.000000000000000000e+00
1.435802407947486259e-01 -8.769181229227673612e+04 0.000000000000000000e+00
1.223849993011641324e+00 -8.581839087535496219e+04 0.000000000000000000e+00
1.691974397237876460e-01 -8.015420574433560250e+04 0.000000000000000000e+00
1.817814343586874326e-01 -7.657266394914887496e+04 0.000000000000000000e+00
1.183384281525800441e+00 -7.419120649441238493e+04 0.000000000000000000e+00
1.903555936378580338e-01 -7.417849850419037102e+04 0.000000000000000000e+00
1.180071145699130852e+00 -7.327606114023781265e+04 0.000000000000000000e+00
1.176169876626023569e+00 -7.220567311634749058e+04 0.000000000000000000e+00
1.169682132958144383e+00 -7.044294427699894004e+04 0.000000000000000000e+00
2.196726198873140135e-01 -6.627737642758792208e+04 0.000000000000000000e+00
2.227182310300832579e-01 -6.548204154240516073e+04 0.000000000000000000e+00
1.138779381820933301e+00 -6.234547278586954053e+04 0.000000000000000000e+00
2.365860880061402272e-01 -6.192167310349940090e+04 0.000000000000000000e+00
1.133961615355871366e+00 -6.112789707374133286e+04 0.000000000000000000e+00
1.119385269337774824e+00 -5.751831407674212824e+04 0.000000000000000000e+00
1.096750899689480585e+00 -5.213593509065199760e+04 0.000000000000000000e+00
2.934804999192173192e-01 -4.837601310054150235e+04 0.000000000000000000e+00
2.998656366509757643e-01 -4.696355186037454405e+04 0.000000000000000000e+00
1.065241763144656240e+00 -4.509873156039161404e+04 0.000000000000000000e+00
3.593501131882561594e-01 -3.486743259461001435e+04 0.000000000000000000e+00
1.002652040623254859e+00 -3.271774393047252670e+04 0.000000000000000000e+00
3.722302289237187090e-01 -3.250349313261944917e+04 0.000000000000000000e+00
3.855064316583045603e-01 -3.016288651003824270e+04 0.000000000000000000e+00
3.861755137411623240e-01 -3.004751436740522331e+04 0.000000000000000000e+00
3.917900071776779791e-01 -2.908919170346554529e+04 0.000000000000000000e+00
4.019818724573568369e-01 -2.739441268998388477e+04 0.000000000000000000e+00
9.573566513057323313e-01 -2.510566001795940974e+04 0.000000000000000000e+00
4.230249954698142578e-01 -2.407882982414764410e+04 0.000000000000000000e+00
9.399838190163354312e-01 -2.249034195391015965e+04 0.000000000000000000e+00
9.354628177549659807e-01 -2.183758256748860731e+04 0.000000000000000000e+00
9.243897740568308707e-01 -2.028751054764577566e+04 0.000000000000000000e+00
4.570227021602906170e-01 -1.924801454804040623e+04 0.000000000000000000e+00
4.610740831899160508e-01 -1.871588700936816895e+04 0.000000000000000000e+00
9.083737640138961345e-01 -1.816816211901352290e+04 0.000000000000000000e+00
9.015141748072347250e-01 -1.730493929369856778e+04 0.000000000000000000e+00
9.013616573754203998e-01 -1.728604994451362290e+04 0.000000000000000000e+00
8.988044433429337454e-01 -1.697130710899900077e+04 0.000000000000000000e+00
8.980230779439706268e-01 -1.687587789507457637e+04 0.000000000000000000e+00
4.768025735449510361e-01 -1.673828415880301327e+04 0.000000000000000000e+00
4.875867956207300402e-01 -1.546363091610989795e+04 0.000000000000000000e+00
8.859711358699233763e-01 -1.544797061417176155e+04 0.000000000000000000e+00
4.913858615836209087e-01 -1.503038087477302179e+04 0.000000000000000000e+00
8.818413998112266672e-01 -1.497772052089577483e+04 0.000000000000000000e+00
8.787882781348269612e-01 -1.463631971511863958e+04 0.000000000000000000e+00
8.755012524273189101e-01 -1.427471283467999820e+04 0.000000000000000000e+00
4.996624042413814193e-01 -1.411503269815825479e+04 0.000000000000000000e+00
5.018091519472498430e-01 -1.388400293857150609e+04 0.000000000000000000e+00
8.676364727835708113e-01 -1.343456532688677908e+04 0.000000000000000000e+00
5.116230385425093452e-01 -1.286141455380247135e+04 0.000000000000000000e+00
5.120977858433578556e-01 -1.281334466633840930e+04 0.000000000000000000e+00
5.121725886821046902e-01 -1.280578237923852430e+04 0.000000000000000000e+00
8.614484984267097856e-01 -1.279841356154466484e+04 0.000000000000000000e+00
8.571159232100427072e-01 -1.236605721413443280e+04 0.000000000000000000e+00
5.242599807819642299e-01 -1.162592127051017815e+04 0.000000000000000000e+00
5.280059201180687944e-01 -1.127728896027938754e+04 0.000000000000000000e+00
8.447545565279602764e-01 -1.119166003486632508e+04 0.000000000000000000e+00
5.316142259125935521e-01 -1.094908568784254749e+04 0.000000000000000000e+00
5.344017289240751145e-01 -1.070066268285745355e+04 0.000000000000000000e+00
8.321462493139726302e-01 -1.008421435300901794e+04 0.000000000000000000e+00
5.425263075468313989e-01 -1.000208714151541062e+04 0.000000000000000000e+00
8.177077383166160285e-01 -8.928387103198307159e+03 0.000000000000000000e+00
8.126077436345029437e-01 -8.548841125149996515e+03 0.000000000000000000e+00
5.625549723523948220e-01 -8.442321434997247707e+03 0.000000000000000000e+00
8.098630996835056717e-01 -8.350793434915256512e+03 0.000000000000000000e+00
5.716051676078757193e-01 -7.813425032482265124e+03 0.000000000000000000e+00
5.745660573117492564e-01 -7.617944152901134657e+03 0.000000000000000000e+00
5.780053169660338552e-01 -7.397241641709350006e+03 0.000000000000000000e+00
7.943499602768534507e-01 -7.313182271811647297e+03 0.000000000000000000e+00
7.941287970264575558e-01 -7.299395081593095711e+03 0.000000000000000000e+00
5.812278534320215462e-01 -7.196652450921968921e+03 0.000000000000000000e+00
7.832579521670062217e-01 -6.656588770359912814e+03 0.000000000000000000e+00
5.906389076920824932e-01 -6.645243789059533810e+03 0.000000000000000000e+00
7.825681725601039140e-01 -6.618108635207137922e+03 0.000000000000000000e+00
5.957385137971816791e-01 -6.367865953141817954e+03 0.000000000000000000e+00
5.967196435890138595e-01 -6.316227824945843167e+03 0.000000000000000000e+00
5.984250056299909026e-01 -6.227799322707228384e+03 0.000000000000000000e+00
6.040887577080660265e-01 -5.946206623060797028e+03 0.000000000000000000e+00
6.058593147931479184e-01 -5.861991598787729345e+03 0.000000000000000000e+00
6.074024180816238738e-01 -5.790077289144363021e+03 0.000000000000000000e+00
7.641177196927226856e-01 -5.691109323132203826e+03 0.000000000000000000e+00
6.135052109317702396e-01 -5.519192532843828303e+03 0.000000000000000000e+00
6.166764959443805649e-01 -5.386957679683859169e+03 0.000000000000000000e+00
7.560897518006557405e-01 -5.349375501817001350e+03 0.000000000000000000e+00
6.190035709363603811e-01 -5.293635908086920608e+03 0.000000000000000000e+00
7.529615304721340996e-01 -5.226336787030390042e+03 0.000000000000000000e+00
6.235495749953523514e-01 -5.120394900589219105e+03 0.000000000000000000e+00
7.453236203434874252e-01 -4.949786441471764192e+03 0.000000000000000000e+00
7.433217994865413125e-01 -4.882906668511190219e+03 0.000000000000000000e+00
6.307179728323193402e-01 -4.871590487030565782e+03 0.000000000000000000e+00
6.361614362981872217e-01 -4.702587888150403160e+03 0.000000000000000000e+00
6.381892937491449036e-01 -4.644029150769523767e+03 0.000000000000000000e+00
7.336885143011381283e-01 -4.593610344679937043e+03 0.000000000000000000e+00
7.328203355177269618e-01 -4.570186123031326133e+03 0.000000000000000000e+00
6.416214358967784470e-01 -4.550361794320318950e+03 0.000000000000000000e+00
6.426345898221141884e-01 -4.524019893061224138e+03 0.000000000000000000e+00
6.450151741604174260e-01 -4.464472084666504088e+03 0.000000000000000000e+00
6.450945597092622164e-01 -4.462543076492011096e+03 0.000000000000000000e+00
6.450971529876965427e-01 -4.462480123576087863e+03 0.000000000000000000e+00
6.468964057228565601e-01 -4.419744481449102750e+03 0.000000000000000000e+00
7.266008832973855913e-01 -4.415186151821952990e+03 0.000000000000000000e+00
6.486746924947520698e-01 -4.379355381531973762e+03 0.000000000000000000e+00
6.493057277755125423e-01 -4.365464871557373044e+03 0.000000000000000000e+00
6.506857267029808600e-01 -4.335894456678581264e+03 0.000000000000000000e+00
7.205595708009675526e-01 -4.286148490226212743e+03 0.000000000000000000e+00
7.198671348540828241e-01 -4.272713660201055973e+03 0.000000000000000000e+00
7.190976108956216306e-01 -4.258110123483080315e+03 0.000000000000000000e+00
6.555404244425074856e-01 -4.240665115499377862e+03 0.000000000000000000e+00
7.168116964475650388e-01 -4.216759552287715451e+03 0.000000000000000000e+00
6.573268477523971365e-01 -4.209070989594233652e+03 0.000000000000000000e+00
6.578730371103752583e-01 -4.199781582100333253e+03 0.000000000000000000e+00
7.140985284059837568e-01 -4.171622733838369641e+03 0.000000000000000000e+00
7.124371347169344837e-01 -4.146096139454080912e+03 0.000000000000000000e+00
7.108048284612407119e-01 -4.122579384426406250e+03 0.000000000000000000e+00
6.630643356460419469e-01 -4.120147916616879229e+03 0.000000000000000000e+00
7.104031607240888224e-01 -4.117030035874896384e+03 0.000000000000000000e+00
7.092639865469246852e-01 -4.101801767873061181e+03 0.000000000000000000e+00
6.644736556979377040e-01 -4.101233461681872541e+03 0.000000000000000000e+00
7.077636293729681061e-01 -4.082896624426408380e+03 0.000000000000000000e+00
7.069841840583266368e-01 -4.073591909956180643e+03 0.000000000000000000e+00
6.668599186699272208e-01 -4.071840686748570988e+03 0.000000000000000000e+00
6.674848705836430307e-01 -4.064689976943494003e+03 0.000000000000000000e+00
7.061611245251474545e-01 -4.064150020996552030e+03 0.000000000000000000e+00
6.677001698949925901e-01 -4.062279116105359208e+03 0.000000000000000000e+00
6.699394804788729729e-01 -4.038802097559448157e+03 0.000000000000000000e+00
6.703354007462427600e-01 -4.034954611281006692e+03 0.000000000000000000e+00
6.709770513249747603e-01 -4.028912735652763331e+03 0.000000000000000000e+00
7.024448908607859865e-01 -4.026423216583819340e+03 0.000000000000000000e+00
7.018768557668636499e-01 -4.021364182398825506e+03 0.000000000000000000e+00
6.998150260972383352e-01 -4.004577762903831626e+03 0.000000000000000000e+00
6.996235120218935455e-01 -4.003144030266585560e+03 0.000000000000000000e+00
6.743665559151041933e-01 -4.000969600308197187e+03 0.000000000000000000e+00
6.991188380501164312e-01 -3.999468051171680600e+03 0.000000000000000000e+00
6.747372745996884635e-01 -3.998318722868581972e+03 0.000000000000000000e+00
6.973190875390895549e-01 -3.987564880513122262e+03 0.000000000000000000e+00
6.973015709210763635e-01 -3.987458285580830307e+03 0.000000000000000000e+00
6.767665328679416392e-01 -3.985224370649930734e+03 0.000000000000000000e+00
6.967065774940626177e-01 -3.983943509615285620e+03 0.000000000000000000e+00
6.771237341457077008e-01 -3.983167307655388868e+03 0.000000000000000000e+00
6.962411812346726014e-01 -3.981337799935514340e+03 0.000000000000000000e+00
6.774812557492606580e-01 -3.981182704252773874e+03 0.000000000000000000e+00
6.776864414945016346e-01 -3.980077291765103837e+03 0.000000000000000000e+00
6.958143236293968803e-01 -3.979058615298451969e+03 0.000000000000000000e+00
6.957926413202494276e-01 -3.978945671727337867e+03 0.000000000000000000e+00
6.957541497772516959e-01 -3.978745842048980194e+03 0.000000000000000000e+00
6.783889373461050587e-01 -3.976478102387355648e+03 0.000000000000000000e+00
6.950899296889209156e-01 -3.975433256381358660e+03 0.000000000000000000e+00
6.947953196594889302e-01 -3.974046125504390147e+03 0.000000000000000000e+00
6.946461104224980199e-01 -3.973362851022684936e+03 0.000000000000000000e+00
6.790943382027786468e-01 -3.973152821778035104e+03 0.000000000000000000e+00
6.791317250420358942e-01 -3.972984654507545201e+03 0.000000000000000000e+00
6.945430569735179249e-01 -3.972898497497912103e+03 0.000000000000000000e+00
6.796921790709731237e-01 -3.970561146653605647e+03 0.000000000000000000e+00
6.797500365953428325e-01 -3.970321362711592428e+03 0.000000000000000000e+00
6.938058639523061455e-01 -3.969756867208055155e+03 0.000000000000000000e+00
6.800478134607679248e-01 -3.969118055173195444e+03 0.000000000000000000e+00
6.936293398585013925e-01 -3.969051492930970653e+03 0.000000000000000000e+00
