# phi logL logPrior
6.898858644945997654e-01 -3.958360158700344982e+03 0.000000000000000000e+00
6.838593210281743717e-01 -3.958270467050468142e+03 0.000000000000000000e+00
6.839971705552421177e-01 -3.958036460959387114e+03 0.000000000000000000e+00
6.892840587552478970e-01 -3.957401846382575968e+03 0.000000000000000000e+00
6.845144665189223376e-01 -3.957256879566207772e+03 0.000000000000000000e+00
6.845935546863901600e-01 -3.957151407296941670e+03 0.000000000000000000e+00
6.846840213077710624e-01 -3.957035221264831307e+03 0.000000000000000000e+00
6.889046780819625404e-01 -3.956905970565472671e+03 0.000000000000000000e+00
6.887047300232126412e-01 -3.956678310069289182e+03 0.000000000000000000e+00
6.851102112083030660e-01 -3.956551898982604143e+03 0.000000000000000000e+00
6.885163776667765356e-01 -3.956485120711742638e+03 0.000000000000000000e+00
6.852613810303719299e-01 -3.956405845070851683e+03 0.000000000000000000e+00
6.852959998741136038e-01 -3.956374268164902787e+03 0.000000000000000000e+00
6.882873485778400191e-01 -3.956278008282189148e+03 0.000000000000000000e+00
6.882774883106624886e-01 -3.956269776563729920e+03 0.000000000000000000e+00
6.882276107443923152e-01 -3.956229003373338401e+03 0.000000000000000000e+00
6.854854469804351202e-01 -3.956213811720809190e+03 0.000000000000000000e+00
6.881612396002787513e-01 -3.956176990934932292e+03 0.000000000000000000e+00
6.855555141436724398e-01 -3.956159754513868393e+03 0.000000000000000000e+00
6.855671952168369554e-01 -3.956151020187620816e+03 0.000000000000000000e+00
6.880928370154379969e-01 -3.956126067382796464e+03 0.000000000000000000e+00
6.880743305435230717e-01 -3.956112757618787782e+03 0.000000000000000000e+00
6.880280159075159441e-01 -3.956080321388670200e+03 0.000000000000000000e+00
6.879544776124113525e-01 -3.956031382247248530e+03 0.000000000000000000e+00
6.879430150944670919e-01 -3.956024037367236815e+03 0.000000000000000000e+00
6.878878810255901755e-01 -3.955989776647822509e+03 0.000000000000000000e+00
6.878116059015926265e-01 -3.955945293480680448e+03 0.000000000000000000e+00
6.859399531045442533e-01 -3.955913969129577708e+03 0.000000000000000000e+00
6.859576167180059247e-01 -3.955904741589423793e+03 0.000000000000000000e+00
6.877237438996838259e-01 -3.955898246666740761e+03 0.000000000000000000e+00
6.877067996050730825e-01 -3.955889690053606500e+03 0.000000000000000000e+00
6.876532616934720732e-01 -3.955863751540887279e+03 0.000000000000000000e+00
6.876376369121863785e-01 -3.955856495764588544e+03 0.000000000000000000e+00
6.860720670353303019e-01 -3.955849349335024272e+03 0.000000000000000000e+00
6.861055826696526028e-01 -3.955834570392817568e+03 0.000000000000000000e+00
6.861298512180253883e-01 -3.955824276814668337e+03 0.000000000000000000e+00
6.875334408892168625e-01 -3.955811740207449020e+03 0.000000000000000000e+00
6.861899425570110456e-01 -3.955800263043519408e+03 0.000000000000000000e+00
6.874760218309016180e-01 -3.955789775428907888e+03 0.000000000000000000e+00
6.874651897174879345e-01 -3.955785846760077220e+03 0.000000000000000000e+00
6.862668585048770087e-01 -3.955772590265959479e+03 0.000000000000000000e+00
6.874181557062686299e-01 -3.955769579589817567e+03 0.000000000000000000e+00
6.863316588827935716e-01 -3.955751946916851921e+03 0.000000000000000000e+00
6.863385832834433264e-01 -3.955749885448147779e+03 0.000000000000000000e+00
6.863470359038628121e-01 -3.955747406809003223e+03 0.000000000000000000e+00
6.864034783863068867e-01 -3.955731920818119761e+03 0.000000000000000000e+00
6.864410111679408732e-01 -3.955722648733463757e+03 0.000000000000000000e+00
6.865010689189695592e-01 -3.955709516487303517e+03 0.000000000000000000e+00
6.865314267159985384e-01 -3.955703676634976546e+03 0.000000000000000000e+00
6.871192997467967523e-01 -3.955696277718864621e+03 0.000000000000000000e+00
6.870730845689484445e-01 -3.955689579835371205e+03 0.000000000000000000e+00
6.870105140781076480e-01 -3.955682491015257256e+03 0.000000000000000000e+00
6.866933764139515617e-01 -3.955681579500153930e+03 0.000000000000000000e+00
6.868666005331288682e-01 -3.955674827939023999e+03 0.000000000000000000e+00
6.868321158554806516e-01 -3.955674780710041432e+03 0.000000000000000000e+00
