# phi logL logPrior
2.352047442976767933e+00 -6.403796984746472444e+05 0.000000000000000000e+00
7.490585072948560130e-01 -5.080786836476056124e+03 0.000000000000000000e+00
1.244842350218084093e+00 -9.217379454524320317e+04 0.000000000000000000e+00
2.965565781434771342e+00 -9.637452132051262306e+05 0.000000000000000000e+00
2.759467478911787897e+00 -8.653203009865903296e+05 0.000000000000000000e+00
3.567521877044394607e+00 -1.147470821448733099e+06 0.000000000000000000e+00
1.738937677646385183e+00 -2.972237666753120720e+05 0.000000000000000000e+00
1.666579373717369972e+00 -2.614621476934481761e+05 0.000000000000000000e+00
4.782778969877990782e+00 -9.218066860484794015e+05 0.000000000000000000e+00
4.067101488279032395e-01 -2.662783734928242484e+04 0.000000000000000000e+00
1.004475530164514296e+00 -3.304804781960752734e+04 0.000000000000000000e+00
5.578884753235737293e+00 -4.816331387729080161e+05 0.000000000000000000e+00
6.222533467236380567e+00 -1.590152260605506599e+05 0.000000000000000000e+00
2.452234521230267639e+00 -6.980171443827410694e+05 0.000000000000000000e+00
3.061874331628271051e+00 -1.004480831264847424e+06 0.000000000000000000e+00
6.282309696906693830e+00 -1.361570678326160705e+05 0.000000000000000000e+00
1.409683090584014309e+00 -1.493948788352771371e+05 0.000000000000000000e+00
5.362150115017520591e+00 -6.071199758960618638e+05 0.000000000000000000e+00
3.098485469727731978e+00 -1.018967049899834092e+06 0.000000000000000000e+00
7.911277656015752724e-01 -7.115108623199836984e+03 0.000000000000000000e+00
1.498213821003123281e+00 -1.851195573628860002e+05 0.000000000000000000e+00
3.071863149131343729e+00 -1.008489711929039098e+06 0.000000000000000000e+00
1.501995743966291652e+00 -1.867176066921181045e+05 0.000000000000000000e+00
5.685629393323097247e+00 -4.212570153365888982e+05 0.000000000000000000e+00
1.116839118048306601e+00 -5.689929202051866741e+04 0.000000000000000000e+00
4.756981670485976643e+00 -9.339354546733831521e+05 0.000000000000000000e+00
5.670617082339404647e+00 -4.296507465816189069e+05 0.000000000000000000e+00
8.754253090335367693e-01 -1.426643121088583939e+04 0.000000000000000000e+00
1.578469304010144070e+00 -2.202233492228123359e+05 0.000000000000000000e+00
1.990301213828713500e-01 -7.179456480579801428e+04 0.000000000000000000e+00
3.263658531682957609e+00 -1.076836734720969340e+06 0.000000000000000000e+00
3.914500836245044635e+00 -1.165003385642380686e+06 0.000000000000000000e+00
