phi_mrg_22	logL
3.79731668856465032214e-01       -4.289897e+09
2.79930220607661650600e-01       -4.268228e+09
2.56933106815798506517e-01       -4.260229e+09
1.96248543989123502840e-01       -4.233768e+09
7.13056031018325708892e-01       -4.208056e+09
7.70920737718314486031e-01       -4.170084e+09
7.92386409782766865106e-01       -4.154267e+09
6.20284613844369658864e+00       -4.017991e+09
9.84814573763784339988e-01       -3.972164e+09
1.11547077462158306105e+00       -3.809588e+09
6.02859939302129355099e+00       -3.807503e+09
5.86403892040526475427e+00       -3.562401e+09
5.85166217003697752830e+00       -3.542330e+09
1.38064103701315543660e+00       -3.395916e+09
5.62316511259997398042e+00       -3.136752e+09
1.58614118854093777422e+00       -3.013528e+09
5.39793137354188878874e+00       -2.686477e+09
1.83230442030127527175e+00       -2.508957e+09
1.85790801653666792781e+00       -2.454682e+09
1.94679410436510336169e+00       -2.264918e+09
5.18450568572879699758e+00       -2.234251e+09
2.06523502537537551049e+00       -2.010864e+09
2.08914296223414019948e+00       -1.959697e+09
2.09798719314037995787e+00       -1.940795e+09
5.04066905497250505874e+00       -1.925955e+09
4.93644992559531292642e+00       -1.705056e+09
4.90756727066843367879e+00       -1.644584e+09
4.87192604246500682308e+00       -1.570544e+09
2.28057436957967585300e+00       -1.556301e+09
4.82849688023871159714e+00       -1.481324e+09
4.80815827635530546047e+00       -1.439961e+09
4.80767376817792513322e+00       -1.438980e+09
4.69569735592751680286e+00       -1.216987e+09
4.67554206536359462376e+00       -1.178187e+09
2.48150541617785336257e+00       -1.156333e+09
4.56879036110600456055e+00       -9.796122e+08
4.54783668400994933734e+00       -9.421262e+08
4.47079416707476173798e+00       -8.089676e+08
4.37342131684839863226e+00       -6.521172e+08
2.81928492241351147385e+00       -5.812391e+08
2.82539913805704845373e+00       -5.722897e+08
2.87157160509890285738e+00       -5.066307e+08
4.25040581421029184384e+00       -4.743749e+08
4.24269727537926666372e+00       -4.640524e+08
4.21719354373324240015e+00       -4.306164e+08
2.93833013146439192553e+00       -4.179130e+08
2.94790974655894366663e+00       -4.058053e+08
4.13393115981056968877e+00       -3.293358e+08
4.09325822228401214886e+00       -2.843982e+08
3.06275600296736794093e+00       -2.733897e+08
3.08163905682557626164e+00       -2.539383e+08
4.03958990385938498946e+00       -2.298274e+08
3.11960945418859125766e+00       -2.168747e+08
3.13407162094941460495e+00       -2.034866e+08
3.99534364734701430422e+00       -1.889815e+08
3.99028958337504757736e+00       -1.845583e+08
3.16984396694954906337e+00       -1.721225e+08
3.17857837858633551775e+00       -1.648467e+08
3.95753940582102448076e+00       -1.571151e+08
3.19895709696354391127e+00       -1.484599e+08
3.90709031844514953491e+00       -1.190254e+08
3.25305419080605506821e+00       -1.090016e+08
3.88986610832914081470e+00       -1.071978e+08
3.25762847415810385954e+00       -1.059370e+08
3.27066455561614555236e+00       -9.743770e+07
3.86160205620220198242e+00       -8.910174e+07
3.84353785633539368760e+00       -7.839610e+07
3.83118413577651484303e+00       -7.146310e+07
3.81556240364482857075e+00       -6.314960e+07
3.81469859103134334433e+00       -6.270472e+07
3.79092656014160489519e+00       -5.107285e+07
3.78888766268772769763e+00       -5.013025e+07
3.78642141966235312722e+00       -4.900172e+07
3.78240052247989577694e+00       -4.718916e+07
3.77185670142828310958e+00       -4.259743e+07
3.77099893044227885142e+00       -4.223416e+07
3.76660558418332858110e+00       -4.039784e+07
3.75815792610507859450e+00       -3.698116e+07
3.39298079040462940981e+00       -3.482461e+07
3.75098184336000128880e+00       -3.419702e+07
3.74662492621255616143e+00       -3.255971e+07
3.72519630572732207696e+00       -2.509149e+07
3.43221044165432109807e+00       -2.139415e+07
3.71154562811391608435e+00       -2.084172e+07
3.43927592891958955335e+00       -1.932224e+07
3.44259009594148812639e+00       -1.838696e+07
3.45203747043976960640e+00       -1.584916e+07
3.69157039697136024614e+00       -1.533703e+07
3.45570281938130019483e+00       -1.491575e+07
3.68593992227874434064e+00       -1.393895e+07
3.46145883044371327486e+00       -1.350774e+07
3.46576155360797688587e+00       -1.250137e+07
3.47623749808725479582e+00       -1.021639e+07
3.66166237376516701119e+00       -8.685385e+06
3.66148274416464669656e+00       -8.651207e+06
3.48498456236736764424e+00       -8.488088e+06
3.48522852240016334235e+00       -8.442229e+06
3.65928600415660376655e+00       -8.238805e+06
3.65525085846409103496e+00       -7.508160e+06
3.65113217359883046598e+00       -6.798305e+06
3.64502930623787202435e+00       -5.813216e+06
3.50098855499948413694e+00       -5.749449e+06
3.50151910953580847163e+00       -5.668046e+06
3.50520208447245540384e+00       -5.119575e+06
3.63996626004314416392e+00       -5.056478e+06
3.63683774347493926626e+00       -4.616318e+06
3.51151064457889550141e+00       -4.247591e+06
3.51211565555911953140e+00       -4.168445e+06
3.51556741666840544269e+00       -3.731893e+06
3.51560747784446192554e+00       -3.726976e+06
3.51853137453643416421e+00       -3.377408e+06
3.62686003326770078914e+00       -3.352593e+06
3.62519414001880591059e+00       -3.162381e+06
3.52558514252413690571e+00       -2.609510e+06
3.61787048514022968604e+00       -2.396727e+06
3.52892470312601957971e+00       -2.283158e+06
3.61635113717417766566e+00       -2.252289e+06
3.52927701839856045041e+00       -2.250123e+06
3.61593141565596010167e+00       -2.213260e+06
3.61515377926971570588e+00       -2.141948e+06
3.61386911310216030202e+00       -2.026980e+06
3.53208646891824429304e+00       -1.996218e+06
3.53306196354930612813e+00       -1.912016e+06
3.61125412674292434190e+00       -1.803893e+06
3.61075445250417548237e+00       -1.762934e+06
3.53539622420560606386e+00       -1.718814e+06
3.60486881732428354752e+00       -1.320786e+06
3.60350023254094109504e+00       -1.228621e+06
3.54276982470132484337e+00       -1.185283e+06
3.54298338496194142877e+00       -1.171569e+06
3.60151401281991079273e+00       -1.102011e+06
3.60121466723960814704e+00       -1.083663e+06
3.60086535934571383422e+00       -1.062496e+06
3.54495638081000485897e+00       -1.049492e+06
3.54530318553236112322e+00       -1.028897e+06
3.54746562298244771938e+00       -9.063007e+05
3.54766474990991165228e+00       -8.955160e+05
3.59702026133260854834e+00       -8.467953e+05
3.54985292842446398254e+00       -7.826082e+05
3.59552803733617309945e+00       -7.716294e+05
3.55149389275914861841e+00       -7.046774e+05
3.59345153755442492383e+00       -6.749830e+05
3.55321711359000058650e+00       -6.290598e+05
3.55412213779964147875e+00       -5.918981e+05
3.59113575475938340276e+00       -5.781127e+05
3.58950282583874891174e+00       -5.167249e+05
3.58943775814089338638e+00       -5.143973e+05
3.55635280032593303901e+00       -5.078084e+05
3.55667235889946331540e+00       -4.966364e+05
3.58822196070825372161e+00       -4.725769e+05
3.55761384887126475007e+00       -4.649950e+05
3.55851902629202854200e+00       -4.363676e+05
3.55852402049306926202e+00       -4.362146e+05
3.55925872238287510640e+00       -4.142794e+05
3.56038179441969049321e+00       -3.829878e+05
3.58516785235503876450e+00       -3.815163e+05
3.58503574763387033997e+00       -3.780291e+05
3.58467037591440185196e+00       -3.685795e+05
3.58453099451373358164e+00       -3.650501e+05
3.56153260594903509073e+00       -3.537313e+05
3.58394362538742594637e+00       -3.506352e+05
3.58382900298269113648e+00       -3.479085e+05
3.58382370166868469141e+00       -3.477831e+05
3.58365452837808540210e+00       -3.438122e+05
3.58355242138162610743e+00       -3.414452e+05
3.58310593419325806863e+00       -3.313579e+05
3.58292169544393201974e+00       -3.273201e+05
3.56313872910067486188e+00       -3.176512e+05
3.56367443907700565120e+00       -3.068482e+05
3.58188454020600843819e+00       -3.059494e+05
3.58147129732803071178e+00       -2.980776e+05
3.56440644723818778061e+00       -2.930825e+05
3.56474335565896360833e+00       -2.871332e+05
3.58063802293244481945e+00       -2.833194e+05
3.56497435554544939151e+00       -2.831949e+05
3.58025463777951591382e+00       -2.770298e+05
3.56538007267881518203e+00       -2.765551e+05
3.58002944889472951573e+00       -2.734825e+05
3.56594674943457468075e+00       -2.678724e+05
3.56595748082206309704e+00       -2.677146e+05
3.57961060614870696384e+00       -2.671742e+05
3.57950175119771163423e+00       -2.655963e+05
3.56625938115155038943e+00       -2.633772e+05
3.57913237672878059570e+00       -2.604317e+05
3.57893800220939928280e+00       -2.578316e+05
3.57887626912665268719e+00       -2.570228e+05
3.56688128928203118662e+00       -2.550587e+05
3.57872314662346635572e+00       -2.550519e+05
3.57862094567256106004e+00       -2.537644e+05
3.57843165983466304780e+00       -2.514391e+05
3.57792919657867924954e+00       -2.456394e+05
3.57792536467518296206e+00       -2.455973e+05
3.56775796349048190947e+00       -2.447423e+05
3.57762646125051420043e+00       -2.424067e+05
3.57736919749999415785e+00       -2.398142e+05
3.57681697126709519097e+00       -2.347289e+05
3.57669313974720148863e+00       -2.336784e+05
3.57668136230248912000e+00       -2.335802e+05
3.56897318890423420612e+00       -2.331701e+05
3.57636080747413531711e+00       -2.310218e+05
3.57621949757753654353e+00       -2.299640e+05
3.56951773043758846526e+00       -2.290129e+05
3.57600900479188865688e+00       -2.284679e+05
3.56969216087293039763e+00       -2.278158e+05
3.57577847803879622646e+00       -2.269384e+05
3.57061963466247611620e+00       -2.225475e+05
3.57495150436490582990e+00       -2.223902e+05
3.57490560882318186842e+00       -2.221808e+05
3.57081453232531176312e+00       -2.216752e+05
3.57474653914185491743e+00       -2.214899e+05
3.57089683774796462501e+00       -2.213313e+05
3.57089696716583526737e+00       -2.213307e+05
3.57466062879445267697e+00       -2.211394e+05
3.57459653291598034031e+00       -2.208882e+05
3.57104260775255388793e+00       -2.207579e+05
3.57453584128566426159e+00       -2.206585e+05
3.57108570776290568105e+00       -2.205971e+05
3.57114596504149250933e+00       -2.203789e+05
3.57125778301936946946e+00       -2.199948e+05
3.57126168325028325867e+00       -2.199819e+05
3.57128364309060764015e+00       -2.199098e+05
3.57133062081820629174e+00       -2.197590e+05
3.57417596720915886621e+00       -2.194586e+05
3.57414718535092079676e+00       -2.193747e+05
3.57412864476661784607e+00       -2.193215e+05
3.57151223176267329507e+00       -2.192207e+05
3.57409143797646944307e+00       -2.192171e+05
3.57154606055584666890e+00       -2.191283e+05
3.57399260082232839153e+00       -2.189542e+05
3.57165151112359069430e+00       -2.188558e+05
3.57166896743743578213e+00       -2.188130e+05
3.57392961719150292765e+00       -2.187975e+05
3.57391682015105693893e+00       -2.187668e+05
3.57387372847041184798e+00       -2.186657e+05
3.57383160268861610476e+00       -2.185707e+05
3.57178161247194214667e+00       -2.185526e+05
3.57379030050524137962e+00       -2.184813e+05
3.57377937432033299103e+00       -2.184583e+05
3.57185697376977850936e+00       -2.183936e+05
3.57189298305631952601e+00       -2.183219e+05
3.57191078196992917171e+00       -2.182875e+05
3.57367604920699077908e+00       -2.182531e+05
3.57200264195020444902e+00       -2.181207e+05
3.57359919761744571076e+00       -2.181154e+05
3.57201747670169611482e+00       -2.180955e+05
3.57358680978033138587e+00       -2.180944e+05
3.57208259259164240262e+00       -2.179904e+05
3.57345056877795652639e+00       -2.178849e+05
3.57344175400970343048e+00       -2.178728e+05
3.57216635965399698094e+00       -2.178685e+05
3.57340916504013916821e+00       -2.178292e+05
3.57221487342108456886e+00       -2.178048e+05
3.57330807462439725697e+00       -2.177085e+05
3.57230432068091907638e+00       -2.177005e+05
3.57327563141191451024e+00       -2.176744e+05
3.57233653112980364952e+00       -2.176672e+05
3.57326536133873151613e+00       -2.176641e+05
3.57236859325873812310e+00       -2.176362e+05
3.57238404131926445828e+00       -2.176221e+05
3.57321304454018928709e+00       -2.176151e+05
3.57239343673288178849e+00       -2.176138e+05
3.57320882676279216739e+00       -2.176114e+05
3.57320044818615922821e+00       -2.176042e+05
3.57319090950986240074e+00       -2.175961e+05
3.57317302987000884329e+00       -2.175816e+05
3.57243339688821359701e+00       -2.175804e+05
3.57315620458709393148e+00       -2.175685e+05
3.57315569764303075928e+00       -2.175681e+05
3.57315156147549339849e+00       -2.175650e+05
3.57245435726384119590e+00       -2.175643e+05
3.57314677171843975145e+00       -2.175614e+05
3.57313419575888691071e+00       -2.175523e+05
3.57248820760189911283e+00       -2.175402e+05
3.57249183130133296515e+00       -2.175378e+05
3.57309863481598899426e+00       -2.175283e+05
3.57309642520564141321e+00       -2.175269e+05
3.57251621184685319577e+00       -2.175222e+05
3.57307013385191352128e+00       -2.175111e+05
3.57254069731795720344e+00       -2.175078e+05
3.57254315576355008233e+00       -2.175064e+05
3.57305483506680454653e+00       -2.175025e+05
3.57256476401652012242e+00       -2.174949e+05
3.57303244409056919295e+00       -2.174910e+05
3.57302852534913073512e+00       -2.174890e+05
3.57302284224660837708e+00       -2.174863e+05
3.57301156378048379025e+00       -2.174811e+05
3.57259782799828773392e+00       -2.174792e+05
3.57300689904545842879e+00       -2.174791e+05
3.57299954849684553437e+00       -2.174759e+05
3.57261475612845869065e+00       -2.174720e+05
3.57299016344083941732e+00       -2.174720e+05
3.57262135573388484033e+00       -2.174694e+05
3.57264812376357721035e+00       -2.174598e+05
3.57265032837359353124e+00       -2.174591e+05
3.57265798992226457642e+00       -2.174566e+05
3.57266207872429664150e+00       -2.174554e+05
3.57293843888655304752e+00       -2.174540e+05
3.57266862056827783078e+00       -2.174534e+05
3.57293620688503699157e+00       -2.174534e+05
3.57267002799318378337e+00       -2.174530e+05
3.57293395225932952641e+00       -2.174528e+05
3.57292946197250760321e+00       -2.174515e+05
3.57269102451264330966e+00       -2.174475e+05
3.57270874844643904211e+00       -2.174436e+05
3.57289243161197989096e+00       -2.174429e+05
3.57289049704310190947e+00       -2.174425e+05
3.57271772975079304757e+00       -2.174419e+05
3.57288574411950365928e+00       -2.174416e+05
3.57272034707903873851e+00       -2.174415e+05
3.57272318349136863702e+00       -2.174410e+05
3.57272616503333617644e+00       -2.174405e+05
3.57287811169897517871e+00       -2.174403e+05
3.57287643219444683851e+00       -2.174401e+05
3.57287408173304266157e+00       -2.174397e+05
3.57273160289589997163e+00       -2.174396e+05
3.57287236318925582879e+00       -2.174395e+05
3.57273309417541407029e+00       -2.174394e+05
3.57286980053113278899e+00       -2.174391e+05
3.57273573818425571602e+00       -2.174390e+05
3.57286712722297217226e+00       -2.174387e+05
3.57274855372317956537e+00       -2.174373e+05
3.57285417787884984619e+00       -2.174371e+05
3.57285345324751313356e+00       -2.174370e+05
3.57285215392425836711e+00       -2.174369e+05
3.57275293714980435311e+00       -2.174368e+05
3.57275365318427029493e+00       -2.174368e+05
3.57285021621496934330e+00       -2.174367e+05
3.57275766446829567968e+00       -2.174364e+05
3.57284696927150680068e+00       -2.174363e+05
3.57276162236005401240e+00       -2.174360e+05
3.57276486424260797392e+00       -2.174357e+05
3.57276626807381303408e+00       -2.174356e+05
3.57276780872938548583e+00       -2.174355e+05
3.57276854001427235374e+00       -2.174354e+05
3.57283452848976956773e+00       -2.174353e+05
3.57277151412966853528e+00       -2.174352e+05
3.57283148663213312446e+00       -2.174351e+05
3.57282902467284912973e+00       -2.174350e+05
3.57282874110138548573e+00       -2.174350e+05
3.57282852553503760262e+00       -2.174349e+05
3.57282799170475673378e+00       -2.174349e+05
3.57282737674318839893e+00       -2.174349e+05
3.57277833240435072071e+00       -2.174348e+05
3.57277873732088568914e+00       -2.174348e+05
3.57282596417977416081e+00       -2.174348e+05
3.57282560361826151407e+00       -2.174348e+05
3.57278109254471276657e+00       -2.174347e+05
3.57278215221418582459e+00       -2.174347e+05
3.57278217689236265997e+00       -2.174347e+05
3.57278294486816250242e+00       -2.174346e+05
3.57282168507179109795e+00       -2.174346e+05
3.57278349493192015629e+00       -2.174346e+05
3.57278475070107148781e+00       -2.174345e+05
3.57281926850291542408e+00       -2.174345e+05
3.57281906563989215542e+00       -2.174345e+05
3.57278646648477637982e+00       -2.174345e+05
3.57278667071515432241e+00       -2.174345e+05
3.57281805143181330209e+00       -2.174345e+05
3.57281802747260757158e+00       -2.174345e+05
3.57278776067152392670e+00       -2.174344e+05
3.57278796757130567840e+00       -2.174344e+05
3.57278820337429880993e+00       -2.174344e+05
3.57278833465171796746e+00       -2.174344e+05
3.57278905746276498334e+00       -2.174344e+05
3.57279045477227752414e+00       -2.174344e+05
3.57279045837927800022e+00       -2.174344e+05
3.57279072067761882536e+00       -2.174344e+05
3.57281405722000355851e+00       -2.174344e+05
3.57281355562376834456e+00       -2.174343e+05
3.57281308014565945896e+00       -2.174343e+05
3.57279233745399826816e+00       -2.174343e+05
3.57281260357097529834e+00       -2.174343e+05
3.57279237694105189505e+00       -2.174343e+05
3.57279297505841952898e+00       -2.174343e+05
3.57279303888629495844e+00       -2.174343e+05
3.57281157172390795296e+00       -2.174343e+05
3.57281085163014422434e+00       -2.174343e+05
3.57281039186340443337e+00       -2.174343e+05
3.57279489859516585781e+00       -2.174343e+05
3.57280951933331047954e+00       -2.174343e+05
3.57279549921170636040e+00       -2.174343e+05
3.57280945833183949389e+00       -2.174343e+05
3.57280939160668697951e+00       -2.174343e+05
3.57280919532728491461e+00       -2.174343e+05
3.57280903239663771842e+00       -2.174343e+05
3.57280900121264322067e+00       -2.174343e+05
3.57280879808842399825e+00       -2.174343e+05
3.57280855011574249858e+00       -2.174342e+05
3.57279652319191720622e+00       -2.174342e+05
3.57280823181037909819e+00       -2.174342e+05
3.57279703683127669578e+00       -2.174342e+05
3.57279728724748846247e+00       -2.174342e+05
3.57280761313616457286e+00       -2.174342e+05
3.57280746833996110112e+00       -2.174342e+05
3.57280730081873354465e+00       -2.174342e+05
3.57279845157158693070e+00       -2.174342e+05
3.57280626776993992522e+00       -2.174342e+05
3.57280620252519653945e+00       -2.174342e+05
3.57279892413552513375e+00       -2.174342e+05
3.57279909237258808119e+00       -2.174342e+05
3.57280577592885295601e+00       -2.174342e+05
3.57280574617982038532e+00       -2.174342e+05
3.57279922969765229013e+00       -2.174342e+05
3.57279936752472782047e+00       -2.174342e+05
3.57280556511473657011e+00       -2.174342e+05
3.57279940780985327820e+00       -2.174342e+05
3.57280552094369463489e+00       -2.174342e+05
3.57280535427663625825e+00       -2.174342e+05
3.57280529314534733842e+00       -2.174342e+05
3.57279970038854388648e+00       -2.174342e+05
3.57280515203091120213e+00       -2.174342e+05
3.57279983557554903228e+00       -2.174342e+05
3.57279984298875685766e+00       -2.174342e+05
3.57280487525417367323e+00       -2.174342e+05
3.57280012159595683485e+00       -2.174342e+05
3.57280022187691637114e+00       -2.174342e+05
3.57280025554181657199e+00       -2.174342e+05
3.57280461427517836981e+00       -2.174342e+05
3.57280038816855904926e+00       -2.174342e+05
3.57280043766615262868e+00       -2.174342e+05
3.57280047788001153819e+00       -2.174342e+05
3.57280442643728157748e+00       -2.174342e+05
3.57280061247446134587e+00       -2.174342e+05
3.57280434989842365923e+00       -2.174342e+05
3.57280404110282523433e+00       -2.174342e+05
3.57280095298133915094e+00       -2.174342e+05
3.57280394777581022936e+00       -2.174342e+05
3.57280394711984294887e+00       -2.174342e+05
3.57280392077487318758e+00       -2.174342e+05
3.57280385127330690764e+00       -2.174342e+05
3.57280381403645908023e+00       -2.174342e+05
3.57280116455261298469e+00       -2.174342e+05
3.57280117988229983794e+00       -2.174342e+05
3.57280119981443755606e+00       -2.174342e+05
3.57280364850243081776e+00       -2.174342e+05
3.57280132735472255590e+00       -2.174342e+05
3.57280141797731820574e+00       -2.174342e+05
3.57280141817641760937e+00       -2.174342e+05
3.57280145963248241259e+00       -2.174342e+05
3.57280153935956601430e+00       -2.174342e+05
3.57280330866722906080e+00       -2.174342e+05
3.57280177051091341056e+00       -2.174342e+05
3.57280179312382051293e+00       -2.174342e+05
3.57280314467988491245e+00       -2.174342e+05
3.57280306417205606451e+00       -2.174342e+05
3.57280192396368745378e+00       -2.174342e+05
3.57280208389841380523e+00       -2.174342e+05
3.57280285989930979085e+00       -2.174342e+05
3.57280222217210186031e+00       -2.174342e+05
3.57280255550245762208e+00       -2.174342e+05
