# phi_mrg_22 logL logPrior
3.601514012819910793e+00 -1.102010630930858664e+06 0.000000000000000000e+00
3.567160749069497871e+00 -2.515910061655506142e+05 0.000000000000000000e+00
3.572747247211392363e+00 -2.174374848156037333e+05 0.000000000000000000e+00
3.572792835434239755e+00 -2.174343102931524627e+05 0.000000000000000000e+00
3.571775103612802038e+00 -2.185669152765574981e+05 0.000000000000000000e+00
3.572803002624201696e+00 -2.174342106357791054e+05 0.000000000000000000e+00
3.572796674674763029e+00 -2.174342465902573895e+05 0.000000000000000000e+00
3.572798132605550681e+00 -2.174342306871216861e+05 0.000000000000000000e+00
3.572817557744558670e+00 -2.174344541197959916e+05 0.000000000000000000e+00
3.573790300505241380e+00 -2.184813470972777868e+05 0.000000000000000000e+00
3.573128232907913038e+00 -2.175480813879683556e+05 0.000000000000000000e+00
3.572814981798603462e+00 -2.174343779139651451e+05 0.000000000000000000e+00
3.572800292245993159e+00 -2.174342155137207883e+05 0.000000000000000000e+00
3.572798756284920163e+00 -2.174342252772144566e+05 0.000000000000000000e+00
3.583654528378085402e+00 -3.438121638218507869e+05 0.000000000000000000e+00
3.572803350901141872e+00 -2.174342111521375773e+05 0.000000000000000000e+00
3.572814981798603462e+00 -2.174343779139651451e+05 0.000000000000000000e+00
3.572801720776869860e+00 -2.174342109776788275e+05 0.000000000000000000e+00
3.572781779459390794e+00 -2.174346704646369326e+05 0.000000000000000000e+00
3.572801743969218347e+00 -2.174342109401713242e+05 0.000000000000000000e+00
3.572873092097731185e+00 -2.174395601467598462e+05 0.000000000000000000e+00
3.572965832728822289e+00 -2.174628437960982847e+05 0.000000000000000000e+00
3.890481223933936583e+00 -1.076098046510693282e+08 0.000000000000000000e+00
3.582921695443932020e+00 -3.273201388700850075e+05 0.000000000000000000e+00
3.572796849734357405e+00 -2.174342444397028594e+05 0.000000000000000000e+00
3.572732622091397747e+00 -2.174394482597699680e+05 0.000000000000000000e+00
3.572819268502915424e+00 -2.174345126000550226e+05 0.000000000000000000e+00
3.902657583162740806e+00 -1.159239128932494819e+08 0.000000000000000000e+00
3.572393436732881788e+00 -2.176137679509445443e+05 0.000000000000000000e+00
3.535396224205606064e+00 -1.718814096721107606e+06 0.000000000000000000e+00
3.597020261332608548e+00 -8.467952909144819714e+05 0.000000000000000000e+00
3.518296503399910513e+00 -3.404811245195260271e+06 0.000000000000000000e+00
3.576693139747201489e+00 -2.336783695835501421e+05 0.000000000000000000e+00
3.579016573656366162e+00 -2.588728960476012726e+05 0.000000000000000000e+00
1.368950777597764512e+00 -3.416230313037483692e+09 0.000000000000000000e+00
3.525376780118095521e+00 -2.630664792787883431e+06 0.000000000000000000e+00
3.572788458539126299e+00 -2.174344215081494767e+05 0.000000000000000000e+00
3.572976333495035295e+00 -2.174666435353322304e+05 0.000000000000000000e+00
3.572798505662339696e+00 -2.174342273508258513e+05 0.000000000000000000e+00
3.572801347423765428e+00 -2.174342117404311430e+05 0.000000000000000000e+00
3.519631940861783548e+00 -3.250574676041693427e+06 0.000000000000000000e+00
3.572817915938157007e+00 -2.174344658443107619e+05 0.000000000000000000e+00
3.572804875254173673e+00 -2.174342164754627738e+05 0.000000000000000000e+00
3.572803862776110950e+00 -2.174342123835374368e+05 0.000000000000000000e+00
3.572801476576097812e+00 -2.174342114427315828e+05 0.000000000000000000e+00
3.572801914346655838e+00 -2.174342106999853859e+05 0.000000000000000000e+00
3.465043952437256713e+00 -1.266646875288978964e+07 0.000000000000000000e+00
3.572748274521960976e+00 -2.174373641534690687e+05 0.000000000000000000e+00
3.595528037336173099e+00 -7.716294394557687920e+05 0.000000000000000000e+00
3.575973469053501663e+00 -2.282246738799121813e+05 0.000000000000000000e+00
3.576756486229011767e+00 -2.342116403749248129e+05 0.000000000000000000e+00
3.572935402639839442e+00 -2.174531691772078630e+05 0.000000000000000000e+00
3.572802488146402666e+00 -2.174342103493375471e+05 0.000000000000000000e+00
3.572808129417721190e+00 -2.174342445268715965e+05 0.000000000000000000e+00
3.572817697171100537e+00 -2.174344586508186185e+05 0.000000000000000000e+00
3.484817143218818636e+00 -8.519632222145710140e+06 0.000000000000000000e+00
3.572869878584752801e+00 -2.174390842554563424e+05 0.000000000000000000e+00
3.572778332404350721e+00 -2.174348364084076020e+05 0.000000000000000000e+00
3.572830263883518320e+00 -2.174350383900427260e+05 0.000000000000000000e+00
3.525564689975074995e+00 -2.611582850686138030e+06 0.000000000000000000e+00
3.752877420314991497e+00 -3.492189152606618404e+07 0.000000000000000000e+00
3.573115569751884824e+00 -2.175394001761737745e+05 0.000000000000000000e+00
3.568585801899576193e+00 -2.365149014388072537e+05 0.000000000000000000e+00
3.572735738184255716e+00 -2.174389914337615483e+05 0.000000000000000000e+00
3.572811839513819532e+00 -2.174343042361201369e+05 0.000000000000000000e+00
3.572834528489769568e+00 -2.174353121570023359e+05 0.000000000000000000e+00
3.725196305727322077e+00 -2.509149337822720408e+07 0.000000000000000000e+00
3.572586675454525462e+00 -2.174841905321729137e+05 0.000000000000000000e+00
3.572866750555535820e+00 -2.174386423106885632e+05 0.000000000000000000e+00
3.572802083898413805e+00 -2.174342105228196015e+05 0.000000000000000000e+00
3.572878368648354730e+00 -2.174403896290767007e+05 0.000000000000000000e+00
3.572825964179774161e+00 -2.174348018869578955e+05 0.000000000000000000e+00
3.572800702122881589e+00 -2.174342137641729787e+05 0.000000000000000000e+00
3.572814057220003559e+00 -2.174343540347749949e+05 0.000000000000000000e+00
3.572805116364619504e+00 -2.174342177742692875e+05 0.000000000000000000e+00
3.583943625387425946e+00 -3.506351662432691664e+05 0.000000000000000000e+00
3.583654528378085402e+00 -3.438121638218507869e+05 0.000000000000000000e+00
3.573097194174285729e+00 -2.175274148855202366e+05 0.000000000000000000e+00
3.572792897830546544e+00 -2.174343090049417224e+05 0.000000000000000000e+00
3.572671179776349515e+00 -2.174527125367402623e+05 0.000000000000000000e+00
3.572586542759700112e+00 -2.174842520134248189e+05 0.000000000000000000e+00
3.550435329388060168e+00 -7.542880535481480183e+05 0.000000000000000000e+00
3.572814635424717888e+00 -2.174343687532071781e+05 0.000000000000000000e+00
3.508590894580283504e+00 -4.640569844243966043e+06 0.000000000000000000e+00
3.572816788009296474e+00 -2.174344298562546028e+05 0.000000000000000000e+00
3.386543388900997265e+00 -3.733946084867621958e+07 0.000000000000000000e+00
3.545303185532361123e+00 -1.028896869413142907e+06 0.000000000000000000e+00
3.572843955284124906e+00 -2.174360558160078363e+05 0.000000000000000000e+00
3.573939097334700943e+00 -2.188205720549487160e+05 0.000000000000000000e+00
3.572771733159558760e+00 -2.174352252473225235e+05 0.000000000000000000e+00
3.571892983056319526e+00 -2.183218992322080885e+05 0.000000000000000000e+00
3.573450568777956526e+00 -2.178849373711830121e+05 0.000000000000000000e+00
