# phi_mrg_22 logL logPrior
4.854131353012109962e-01 -4.281321804678523540e+09 0.000000000000000000e+00
5.215697821499574172e-01 -4.279310415370984077e+09 0.000000000000000000e+00
7.148431438957417727e-01 -4.221377753561394691e+09 0.000000000000000000e+00
1.816102254054934306e-01 -4.188362554612834930e+09 0.000000000000000000e+00
8.305271701927310346e-01 -4.149375245178616524e+09 0.000000000000000000e+00
9.042887308592173490e-01 -4.089371202604295254e+09 0.000000000000000000e+00
9.411781106218115589e-01 -4.055364296109661102e+09 0.000000000000000000e+00
9.939431285393177662e-01 -4.002206362140759468e+09 0.000000000000000000e+00
6.203741700460643216e+00 -3.957881516002559662e+09 0.000000000000000000e+00
6.057415620777209853e+00 -3.773479046506676197e+09 0.000000000000000000e+00
6.009558493071200047e+00 -3.705381788597315788e+09 0.000000000000000000e+00
5.928796420417604907e+00 -3.582423250893270969e+09 0.000000000000000000e+00
1.321903679701311507e+00 -3.562507127478587627e+09 0.000000000000000000e+00
1.349393355024810059e+00 -3.517983706678337097e+09 0.000000000000000000e+00
1.457494711396716047e+00 -3.333135154459281921e+09 0.000000000000000000e+00
1.474934830341774195e+00 -3.301950280160288811e+09 0.000000000000000000e+00
5.736662284066445849e+00 -3.253731806763137817e+09 0.000000000000000000e+00
5.679267822763973683e+00 -3.147007339612685680e+09 0.000000000000000000e+00
5.676414462421967677e+00 -3.141612119387855530e+09 0.000000000000000000e+00
1.605556582873383764e+00 -3.057824618096135616e+09 0.000000000000000000e+00
1.679635465050613341e+00 -2.912152775146198273e+09 0.000000000000000000e+00
5.480069420778281852e+00 -2.753227942607783318e+09 0.000000000000000000e+00
5.285076765400005705e+00 -2.344189034423410892e+09 0.000000000000000000e+00
2.029109339065968687e+00 -2.181801727749197483e+09 0.000000000000000000e+00
5.185858294118449230e+00 -2.132103915442840576e+09 0.000000000000000000e+00
2.080301069203662756e+00 -2.072232008912623882e+09 0.000000000000000000e+00
2.182541023515556677e+00 -1.854222019181141376e+09 0.000000000000000000e+00
2.283277625446666459e+00 -1.642333469143646717e+09 0.000000000000000000e+00
2.293536933637412734e+00 -1.621001948869299412e+09 0.000000000000000000e+00
2.304116378426606992e+00 -1.599062103505525112e+09 0.000000000000000000e+00
2.314426412936049005e+00 -1.577739275576403618e+09 0.000000000000000000e+00
2.316182704645373569e+00 -1.574112881747342587e+09 0.000000000000000000e+00
4.921825295608568851e+00 -1.573747569607505322e+09 0.000000000000000000e+00
4.897921919299693450e+00 -1.524572777533836365e+09 0.000000000000000000e+00
2.387974899462778300e+00 -1.427498751527507782e+09 0.000000000000000000e+00
4.821843917534724966e+00 -1.370540712807262897e+09 0.000000000000000000e+00
4.805078641454436195e+00 -1.337165188901290655e+09 0.000000000000000000e+00
2.496188532836031815e+00 -1.213684457545252323e+09 0.000000000000000000e+00
4.734618986992048306e+00 -1.199474975012804031e+09 0.000000000000000000e+00
4.727818177249464959e+00 -1.186421505060297489e+09 0.000000000000000000e+00
4.616053917097529435e+00 -9.786619188156578541e+08 0.000000000000000000e+00
4.602280181402219839e+00 -9.540108123452292681e+08 0.000000000000000000e+00
2.642051369015276929e+00 -9.430825403035521507e+08 0.000000000000000000e+00
4.570710074942468282e+00 -8.983661283261477947e+08 0.000000000000000000e+00
4.534316942371858339e+00 -8.357602446659994125e+08 0.000000000000000000e+00
2.716381892321448888e+00 -8.146282291459836960e+08 0.000000000000000000e+00
2.717294052224974887e+00 -8.130959556932165623e+08 0.000000000000000000e+00
4.508548144537018132e+00 -7.924713197873041630e+08 0.000000000000000000e+00
2.756784973515034487e+00 -7.478341759003911018e+08 0.000000000000000000e+00
2.764560185648551549e+00 -7.352378032454340458e+08 0.000000000000000000e+00
2.777887542400800047e+00 -7.138446381445106268e+08 0.000000000000000000e+00
2.786797813966142456e+00 -6.996829383705291748e+08 0.000000000000000000e+00
2.881347578365339945e+00 -5.566729517907955647e+08 0.000000000000000000e+00
4.323488258635103776e+00 -5.095448676707301736e+08 0.000000000000000000e+00
2.931157991961840903e+00 -4.869477317620285749e+08 0.000000000000000000e+00
4.267088532636704734e+00 -4.339968183385242224e+08 0.000000000000000000e+00
4.255108894027275213e+00 -4.186410172713539600e+08 0.000000000000000000e+00
4.254887574198426670e+00 -4.183596423037897944e+08 0.000000000000000000e+00
4.221133523413875821e+00 -3.764420966498842239e+08 0.000000000000000000e+00
3.069818314325142072e+00 -3.149576349022635818e+08 0.000000000000000000e+00
4.165520149937812278e+00 -3.117838681267278194e+08 0.000000000000000000e+00
4.142590099533828507e+00 -2.867602566663930416e+08 0.000000000000000000e+00
4.125451182436276731e+00 -2.686923860777024031e+08 0.000000000000000000e+00
4.123833342158335746e+00 -2.670151783690235019e+08 0.000000000000000000e+00
3.122351906556033008e+00 -2.587934997319276631e+08 0.000000000000000000e+00
4.113582303726679434e+00 -2.565021394763941765e+08 0.000000000000000000e+00
3.140341818183955525e+00 -2.407464790555894971e+08 0.000000000000000000e+00
4.082842761597921921e+00 -2.261683356956771016e+08 0.000000000000000000e+00
3.163487712622819803e+00 -2.184323931125589013e+08 0.000000000000000000e+00
3.177552782432278455e+00 -2.053750669088121653e+08 0.000000000000000000e+00
4.050957695217991095e+00 -1.966158268214825988e+08 0.000000000000000000e+00
3.187683670123333535e+00 -1.962070973840653598e+08 0.000000000000000000e+00
4.047628049288166885e+00 -1.936432292389601469e+08 0.000000000000000000e+00
4.041376371617285024e+00 -1.881202789924990833e+08 0.000000000000000000e+00
4.017580829287509481e+00 -1.677983227334227860e+08 0.000000000000000000e+00
3.975361729902104013e+00 -1.344983730433339775e+08 0.000000000000000000e+00
3.971892791358798469e+00 -1.319204747303911448e+08 0.000000000000000000e+00
3.958232062534335238e+00 -1.220040006035049856e+08 0.000000000000000000e+00
3.955449186446417631e+00 -1.200300094058656096e+08 0.000000000000000000e+00
3.289698815416178146e+00 -1.151594849108916223e+08 0.000000000000000000e+00
3.298664055037792586e+00 -1.090331077199812233e+08 0.000000000000000000e+00
3.935397534184330581e+00 -1.062701989729078263e+08 0.000000000000000000e+00
3.924273138796445348e+00 -9.898887353809607029e+07 0.000000000000000000e+00
3.330998990296035078e+00 -8.829711605477243662e+07 0.000000000000000000e+00
3.897287942758099533e+00 -8.237763055105561018e+07 0.000000000000000000e+00
3.882010765534761543e+00 -7.363719482702969015e+07 0.000000000000000000e+00
3.378341505406675882e+00 -6.181314756461244822e+07 0.000000000000000000e+00
3.855468291415633963e+00 -5.959995832541193068e+07 0.000000000000000000e+00
