# phi_mrg_22 logL logPrior
5.038802438525948446e+00 -1.921969871942853689e+09 0.000000000000000000e+00
4.747147148955638940e+00 -1.317705000099255085e+09 0.000000000000000000e+00
3.794031596070573720e+00 -5.252507786810393631e+07 0.000000000000000000e+00
1.083422683497442751e+00 -3.852204308597126484e+09 0.000000000000000000e+00
3.374846267656370635e+00 -4.213270125936755538e+07 0.000000000000000000e+00
3.814740737857568842e+00 -6.272638917303448915e+07 0.000000000000000000e+00
3.446131904172888394e+00 -1.741327302138329670e+07 0.000000000000000000e+00
5.142685261127398988e+00 -2.144518099138930798e+09 0.000000000000000000e+00
4.797708198692225423e+00 -1.418821781701763868e+09 0.000000000000000000e+00
4.902014886783611303e+00 -1.633005410470616341e+09 0.000000000000000000e+00
6.274055853551221418e+00 -4.088002098132884502e+09 0.000000000000000000e+00
3.889814448103197542e+00 -1.071632439808838665e+08 0.000000000000000000e+00
4.432866147042329175e+00 -7.462810246165614128e+08 0.000000000000000000e+00
3.244557786636931285e-02 -4.124347782846982479e+09 0.000000000000000000e+00
1.905930966508213142e+00 -2.352364218614321232e+09 0.000000000000000000e+00
5.008034145752896293e+00 -1.856411982121433973e+09 0.000000000000000000e+00
1.097369556463457796e+00 -3.833870889400414467e+09 0.000000000000000000e+00
9.566886561812620871e-02 -4.173048182881846428e+09 0.000000000000000000e+00
5.472228957416867878e+00 -2.839177778336152077e+09 0.000000000000000000e+00
2.798944656399840802e+00 -6.114302604102332592e+08 0.000000000000000000e+00
4.165293598511858875e+00 -3.660430849813624620e+08 0.000000000000000000e+00
3.443097641864823366e+00 -1.824578773986402154e+07 0.000000000000000000e+00
1.743002129483888440e+00 -2.696174840193767071e+09 0.000000000000000000e+00
1.049626769839512086e+00 -3.895246697101178169e+09 0.000000000000000000e+00
4.015302915192028976e+00 -2.069371653272155821e+08 0.000000000000000000e+00
6.173783003984782525e+00 -3.986670023862778187e+09 0.000000000000000000e+00
3.644228098889135126e+00 -5.689810170232908800e+06 0.000000000000000000e+00
5.421848933270990045e+00 -2.735999935575458527e+09 0.000000000000000000e+00
5.020475044588340374e+00 -1.882890186947277069e+09 0.000000000000000000e+00
4.031757740720075311e+00 -2.223215313651083708e+08 0.000000000000000000e+00
1.088341972410951097e+00 -3.845775505714408875e+09 0.000000000000000000e+00
1.364218939102450179e+00 -3.424403883437465668e+09 0.000000000000000000e+00
4.560847755454648045e+00 -9.653417791540949345e+08 0.000000000000000000e+00
6.261996709749517720e+00 -4.076829054789400101e+09 0.000000000000000000e+00
2.236829159611243512e+00 -1.647106364557625055e+09 0.000000000000000000e+00
3.050467553687685740e+00 -2.864071524527750015e+08 0.000000000000000000e+00
1.664155621976174615e+00 -2.857878419145948410e+09 0.000000000000000000e+00
3.068518857063251559e-01 -4.276165723830227852e+09 0.000000000000000000e+00
4.471384987404033673e+00 -8.099595559819900990e+08 0.000000000000000000e+00
2.510363824150041445e-01 -4.257997867535146713e+09 0.000000000000000000e+00
8.162993981343058536e-02 -4.162927198875437737e+09 0.000000000000000000e+00
4.470942050539373547e+00 -8.092158492973697186e+08 0.000000000000000000e+00
1.451768778447050323e+00 -3.268736549030333519e+09 0.000000000000000000e+00
3.049018083980355787e+00 -2.879611700806415081e+08 0.000000000000000000e+00
4.550254894913457804e+00 -9.464257306548011303e+08 0.000000000000000000e+00
5.032467738528522361e+00 -1.908453133773641586e+09 0.000000000000000000e+00
2.031799556924160921e+00 -2.082543859954940796e+09 0.000000000000000000e+00
3.599317183340920323e+00 -9.718321988090605009e+05 0.000000000000000000e+00
5.395665534444809452e+00 -2.681769075684279442e+09 0.000000000000000000e+00
1.067387767102077945e+00 -3.872872270419034481e+09 0.000000000000000000e+00
3.130594012801185322e+00 -2.066689316366212964e+08 0.000000000000000000e+00
3.319316063630729730e+00 -6.880340566521652043e+07 0.000000000000000000e+00
3.375441455087170528e+00 -4.188184754830376059e+07 0.000000000000000000e+00
3.007561127965301395e-01 -4.274503366182561874e+09 0.000000000000000000e+00
1.789983530771855458e+00 -2.598133054311863422e+09 0.000000000000000000e+00
5.918138544984337557e+00 -3.647546509229089737e+09 0.000000000000000000e+00
8.459436778486135733e-01 -4.110787888709625244e+09 0.000000000000000000e+00
5.790768375130686429e+00 -3.440525739685957909e+09 0.000000000000000000e+00
3.674287436257088757e-01 -4.288376159537220955e+09 0.000000000000000000e+00
1.675524736142763427e+00 -2.834811258877987862e+09 0.000000000000000000e+00
2.773860179408905502e+00 -6.495364886389300823e+08 0.000000000000000000e+00
1.248193057042733756e+00 -3.615431197368299484e+09 0.000000000000000000e+00
3.488974060470279692e+00 -7.754128453904356807e+06 0.000000000000000000e+00
7.764514130548210158e-01 -4.166097311724316597e+09 0.000000000000000000e+00
