# phi_mrg_33 logL logPrior
3.397810836580437588e+00 -3.011831408250368666e+06 0.000000000000000000e+00
3.188440069350580330e+00 -3.011830430133946240e+06 0.000000000000000000e+00
3.381668528766936799e+00 -3.011830364632940851e+06 0.000000000000000000e+00
3.190653217861811441e+00 -3.011830298124186695e+06 0.000000000000000000e+00
3.191625758844804928e+00 -3.011830241073193494e+06 0.000000000000000000e+00
3.379120210226489007e+00 -3.011830214617873542e+06 0.000000000000000000e+00
3.364813610921273845e+00 -3.011829447098542005e+06 0.000000000000000000e+00
3.206772248383418678e+00 -3.011829428172949236e+06 0.000000000000000000e+00
3.360233154144897760e+00 -3.011829228177471552e+06 0.000000000000000000e+00
3.212823949530844381e+00 -3.011829143141882494e+06 0.000000000000000000e+00
3.213464502989093585e+00 -3.011829114301591646e+06 0.000000000000000000e+00
3.352581969356232872e+00 -3.011828891516027506e+06 0.000000000000000000e+00
3.218661859870162179e+00 -3.011828889707572758e+06 0.000000000000000000e+00
3.218963971872039753e+00 -3.011828877167819999e+06 0.000000000000000000e+00
3.351275274505662427e+00 -3.011828837651156355e+06 0.000000000000000000e+00
3.351098979549444579e+00 -3.011828830465009902e+06 0.000000000000000000e+00
3.224339858862607322e+00 -3.011828663503215648e+06 0.000000000000000000e+00
3.345348898664640469e+00 -3.011828606655384880e+06 0.000000000000000000e+00
3.228094310837546388e+00 -3.011828524922082666e+06 0.000000000000000000e+00
3.339520455802762910e+00 -3.011828400744033977e+06 0.000000000000000000e+00
3.232171176949421021e+00 -3.011828384352362249e+06 0.000000000000000000e+00
3.339008102022662516e+00 -3.011828383651931770e+06 0.000000000000000000e+00
3.338850394763137608e+00 -3.011828378423638176e+06 0.000000000000000000e+00
3.335036976646531315e+00 -3.011828256704458967e+06 0.000000000000000000e+00
3.237809433329493558e+00 -3.011828206956144422e+06 0.000000000000000000e+00
3.332220121674790203e+00 -3.011828172594897449e+06 0.000000000000000000e+00
3.240417985226554443e+00 -3.011828131565097719e+06 0.000000000000000000e+00
3.330432717170734414e+00 -3.011828121780465357e+06 0.000000000000000000e+00
3.240790785783624894e+00 -3.011828121135869063e+06 0.000000000000000000e+00
3.243283490430553417e+00 -3.011828053620630410e+06 0.000000000000000000e+00
3.243845744213583071e+00 -3.011828038925562054e+06 0.000000000000000000e+00
3.324812473401425272e+00 -3.011827974935886450e+06 0.000000000000000000e+00
3.246675894786656080e+00 -3.011827967939858790e+06 0.000000000000000000e+00
3.247407796058075835e+00 -3.011827950392433442e+06 0.000000000000000000e+00
3.247947755872360176e+00 -3.011827937660232652e+06 0.000000000000000000e+00
3.248228831511315473e+00 -3.011827931104208343e+06 0.000000000000000000e+00
3.250733589998157314e+00 -3.011827874849751126e+06 0.000000000000000000e+00
3.320265251588150335e+00 -3.011827870493077673e+06 0.000000000000000000e+00
3.254112138655427255e+00 -3.011827805148298386e+06 0.000000000000000000e+00
3.312691687347094405e+00 -3.011827725069901906e+06 0.000000000000000000e+00
3.259885238543109409e+00 -3.011827702467737254e+06 0.000000000000000000e+00
3.260036594574247548e+00 -3.011827700054455549e+06 0.000000000000000000e+00
3.310979512238299893e+00 -3.011827697135688271e+06 0.000000000000000000e+00
3.310886564680336708e+00 -3.011827695671402849e+06 0.000000000000000000e+00
3.308680958765275459e+00 -3.011827662500581704e+06 0.000000000000000000e+00
3.263830330634947874e+00 -3.011827644218409434e+06 0.000000000000000000e+00
3.306153585520180460e+00 -3.011827628209453076e+06 0.000000000000000000e+00
3.306121292311259285e+00 -3.011827627797001507e+06 0.000000000000000000e+00
3.303104783330331973e+00 -3.011827592129246332e+06 0.000000000000000000e+00
3.269905999144168796e+00 -3.011827573439666070e+06 0.000000000000000000e+00
3.270404131111185997e+00 -3.011827568654812407e+06 0.000000000000000000e+00
3.272341673336455870e+00 -3.011827551510950550e+06 0.000000000000000000e+00
3.272838914593316773e+00 -3.011827547487683594e+06 0.000000000000000000e+00
3.297283368747344401e+00 -3.011827539292776957e+06 0.000000000000000000e+00
3.274005890346535885e+00 -3.011827538649368100e+06 0.000000000000000000e+00
3.296885194279839393e+00 -3.011827536448899657e+06 0.000000000000000000e+00
3.296389752164968545e+00 -3.011827533047977835e+06 0.000000000000000000e+00
3.296352515753009804e+00 -3.011827532798539381e+06 0.000000000000000000e+00
3.276374665490024540e+00 -3.011827523313336540e+06 0.000000000000000000e+00
3.293698838527642891e+00 -3.011827517242617439e+06 0.000000000000000000e+00
3.293365686987155261e+00 -3.011827515599099454e+06 0.000000000000000000e+00
3.292978095418441331e+00 -3.011827513773884624e+06 0.000000000000000000e+00
3.292373394435061051e+00 -3.011827511112865061e+06 0.000000000000000000e+00
3.292275560719331917e+00 -3.011827510703715496e+06 0.000000000000000000e+00
3.279752013367614349e+00 -3.011827507482226938e+06 0.000000000000000000e+00
3.281401945589670355e+00 -3.011827502327621449e+06 0.000000000000000000e+00
3.281901141381268427e+00 -3.011827501101685688e+06 0.000000000000000000e+00
3.283568644225852928e+00 -3.011827498130120803e+06 0.000000000000000000e+00
3.286785827888469846e+00 -3.011827497283839621e+06 0.000000000000000000e+00
3.284502587056395306e+00 -3.011827497221326455e+06 0.000000000000000000e+00
