sxs_id,q,chi1z,chi2z,reference_eccentricity,spin1x,spin1y,spin2x,spin2y,number_of_orbits,resolution_level,paper_group
SXS:BBH:0180,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nonspinning
SXS:BBH:0007,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nonspinning
SXS:BBH:0169,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nonspinning
SXS:BBH:0259,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nonspinning
SXS:BBH:0030,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nonspinning
SXS:BBH:0167,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nonspinning
SXS:BBH:0295,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nonspinning
SXS:BBH:0056,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nonspinning
SXS:BBH:0296,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nonspinning
SXS:BBH:0166,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nonspinning
SXS:BBH:0297,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nonspinning
SXS:BBH:0298,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nonspinning
SXS:BBH:0299,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nonspinning
SXS:BBH:0063,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nonspinning
SXS:BBH:0300,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nonspinning
SXS:BBH:0301,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nonspinning
SXS:BBH:0302,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nonspinning
SXS:BBH:0185,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nonspinning
SXS:BBH:0303,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nonspinning
